content,date,Sentiment
Needs smart dictation like todoist and better calendar widgets like ticktick,2025-01-27,Neutral
Needs work. Time options in Custom ARE NOT Professional enough.,2023-01-31,Negative
Can't move it to SD card. I need space on my phone so I'll likely be deleting it.,2024-11-14,Negative
Review more for 5 stars!,2024-08-05,Positive
I paid for premium account. But my account status is still free with no premium feature.,2024-06-09,Neutral
I really want to like this app. We use it to share shopping lists. But the syncing with my wife's phone leaves much to be desired.,2025-03-20,Positive
I am on premium and i don't receive whatsapp messages as reminders,2025-03-13,Negative
Add features like todoist,2023-07-23,Positive
"I like the app but the only thing which i personally wanted was, if i were able to share picture with my shared tasks people, lets say i make a task to pay bill with my husband but i want to send him the image of the bill. Other than that better from other apps",2024-11-28,Neutral
"I have used this for a while and, though it isn't a perfect fit, it does a great job of allowing me to schedule alarms for tasks and easy snoozing of those alarms. But they updated and fixed what wasn't broken. Now, all uncompleted tasks show in the task window with no delineation of whether they are recent, scheduled, or past due. Visually, it is very confusing. I'm probably going to dump this app. I would like a good calendar view of things scheduled on each day and it doesn't have that.",2022-04-19,Neutral
Ok,2024-12-01,Neutral
You have to pay to get half the features,2024-07-23,Negative
Very limited without premium,2023-02-02,Negative
"When you put something in a category and then rename it, you have to re-categorise. Not amazing at sharing - list items get out of sync on multiple devices.",2023-09-26,Negative
"It's got promise, just not there yet. To many glitches to justify the premium version. Small things here an there but the main problem is events consistently erase information and become in unable to edit. Now you have permanent events stuck in your calendar that cannot be changed. For the free version I guess you could put up with it but it's still annoying. It's got style and potential. One day I hope to be back and check it out again.",2025-03-02,Neutral
Best GUI with few bugs,2024-01-03,Positive
I left a review earlier that was one star. While the app wasn't for me (I found that it was confusing and didn't suit my needs so I deleted it shortly after) The customer service was fantastic. I was charged for a subscription even though I didn't use the app because I made a mistake in canceling the subscription. I sent an email detailing my problem and asking for a refund. The response was quick and a refund was granted I thought it was only fair to come back and leave a nicer review.,2022-08-23,Negative
I just downloaded the app not quite long. I've started to enjoy it but there's one problem. The widget is usually empty even though there are tasks in the app. What can I do about it?,2023-10-20,Neutral
برنامه عالیه اما اکثر امکاناتش پولیه,2024-01-21,Neutral
Nice,2023-08-11,Positive
Very handy if you're going shopping or need reminders on what you want to purchase. Easy to use and plenty of features.,2024-10-29,Positive
"I have such extensive ideas for productivity apps that a developer should retain me as a consultant before the competition gets me. None are even close to my standards, yet. One general idea for free: if a customization option that any one to-do list app has is useful, why don't they all have it?",2025-01-02,Neutral
"App was excellent till recent, but I'm unable to add new task after recent updates.",2024-08-11,Neutral
I really like this apps cos it allows me to plan weekly schdules which is very important to me.,2023-05-07,Positive
"This is a simple free app. With an easy to use features and interface. But not much to explore, limited, with only the premium features as something that might pique your interest on. Other than those, this app does what it says on the description. If you're interested in a straight-to-the-point checklist, with minimal features, I think this can be your go to app. (3 stars; since this is not what I, personally, would look for in a to do app)",2024-07-01,Neutral
Missing an important feature!!! They need to add the option to remind you every x minutes and x hours per day. It is a must for someone who has ADHD. I would definitely keep the upgrade if they can implement this feature.,2022-06-19,Neutral
"Bug is there in recent version, whenever i try to mark incomplete a task a duplicate task comes up with same name again and again. Also we cannot recover our mistakenly deleted task",2024-08-03,Negative
Its okay so far but im not sure on how to find the focusing tree part in order for me to stay focused just wondering how you do it other than that not too bad of an app,2024-03-05,Neutral
It is not working,2023-09-26,Negative
LIKE,2022-01-29,Positive
"Waiting for the bug to be fixed which causes the tasks to be moved out of order and disappear,otherwise great app.",2022-12-05,Neutral
I want to use this app but i can't do log in. Many times i uninstall and reinstall but prb is still not solved,2023-05-15,Neutral
"Still exploring, sry",2023-05-26,Positive
I believe I am rating about getting back on engine browser and phone after batteries or devices cannot interface,2022-08-05,Negative
Tried it. The app worked well but found something that works better for me personally..🙃,2025-03-01,Neutral
Not so good,2024-12-29,Negative
This site is most suitable for those who wanted to get a jobs from home Thanks a lot,2023-03-21,Positive
Great app. But I am not getting notifications even when i set time to remind,2024-05-25,Positive
Going for free and better Microsoft To-do,2022-06-16,Negative
So far I'm not impressed and I don't see where it's worth over $40 a year to use... I'm really trying to use it for everything since I did pay for it but to me it's just not worth it.,2022-04-01,Negative
Not bad,2023-12-15,Neutral
"NEED MORE ×.WITH APP, SO FAR SOGOOD",2022-02-08,Neutral
"Overall not a bad app. For the first week or so, it gave me notifications when it was supposed to, but after that, it's almost like it forgot sometimes itself, e.g. notification on Saturday when I set it for Friday. Reminders for things I have set daily don't even come up anymore, but it remembers to give me an display-over-app notification to remind me to set a reminder. Also, no push notifications that take you into the app so you'd have to do it yourself. Sub-tasks are my favourite feature!",2025-02-23,Positive
Will not let me start the free trial or for that matter purchase an upgrade so for now since it's stuck like me 3. Get it fixed and I'll improve score.,2022-06-22,Neutral
"Hey dev, please bring back old UI in quick add widget... This new update does not have faster and efficient adding task event... Old version was perfect.... Please i have been using anydo since 4 years.... Please don't spoil it..",2023-10-15,Neutral
"i would honestly give this app a chance if more features were available for free users. a lot of people dont have the money to spend on an app like this, and since there are many other options i will try those instead. premium for this app looks really helpful and the layout of this app is great but im going to have to uninstall since the free version isnt really helpful to me :(((",2024-01-24,Neutral
"I had opted for premium. But even basic things like I wanted to start fresh, so I said delete all tasks, but it added that as a reminder from what's app.",2024-12-17,Neutral
"Nice app, I think, but you need premium to use it. Free version is very ripped off.",2023-04-21,Neutral
Delet,2023-04-01,Negative
Thank you 😊,2024-04-08,Positive
Features available in many apps for free are paid here...,2024-06-13,Positive
I would normally give this 5 stars but the past few days the widget has not allowed me to make tasks on future dates. It just puts the task on todays date. And you cant put tasks on random future days either. Tomorrow yes but i like to plan ahead of tomorrow,2024-10-21,Neutral
Super,2023-01-22,Positive
don't understand collaborative editing,2022-12-14,Negative
"Custom sound taken away, now you say they're back, thry aren't showing up. Hit and miss with quick add task doing voice input is annoying too. Make that a setting, but the biggest is the custom sound issue. Now adding a timed reminder is harder, just a tiny little bell icon to try and hit (it's crammed next to other icons, so it's easy to tap the wrong one.) Make better improvements, like a continuous scrolling calendar, instead of it jumping between months for a reminder the next day.",2022-07-09,Negative
Not very user-friendly. I found it hard to navigate and find what I wanted. It works nicely and I appreciate the simple art style.,2023-05-20,Neutral
"On the widget, Calendar tab not functioning although inside the app already linked my Google calendar.",2024-04-03,Negative
How do u change it to am or pm because I can't press it and the time is really important,2024-07-17,Positive
Can't edit the time of a scheduled task and no sound/alarm notifications for the tasks. Edit- sound issue resolved. But still having issues with editing tasks. Not a very user friendly interface.,2024-07-22,Negative
I'm(Edwin M. Gonzales)Admin),2025-02-14,Positive
Gud,2022-05-14,Positive
"It used to be my everyday companion in every organisational way, but after the new update, there was no way to place a new task into the right day. It automatically put the task in the current day, not it's intentional deadline",2022-02-27,Negative
Great app and does what I want it to do. (Is my prefered habit tracker ) However I believe the colours should not be a premium feature. Far too expensive as it is the only reason I would get premium! Perhaps make adding wallpapers from gallery a premium feature?,2023-11-16,Positive
"almost a 5. just integrate google reminders so I can ask google to remind me about things, and keep track of them here. Update: 4/27/20 Google integration is here. It doesn't work. Now you get 3 stars for doing a crappy job 😂",2023-11-03,Neutral
Reminder sound not sounding,2022-06-22,Negative
It is better than the normal app in your phone I only wish their was better support for the calendar,2024-03-25,Positive
Need more user friendly interface. But very useful application my mobile.,2025-03-18,Positive
"updated review; left review here for wrong app. Not bad so far, migration of data off wunderlist mixed up all the items in the list, sorted by date, not within each list. not necessarily the apps fault. just challenging just to get started. already deleted two other apps that were worse.",2022-03-21,Neutral
Everything is great. But the sort by time isn't working properly.,2024-06-04,Neutral
"I've been using this for a long while now and it remains the penultimate, perfect to-do list app! I recommend it to pretty much EVERYONE I talk to, especially friends, family, and coworkers. -- 4/18/2020: latest update has eliminated the ability to resize widgets as needed. The remaining options are too large or too small.",2022-07-22,Positive
I asked seven days trial to see whether I like or not and you have already taken the money for the whole entire year that is a rip-off,2024-02-03,Negative
Tried to share a list with my husband but it won't share between my Office account and his Personal account. It's a show stopper.,2022-02-16,Negative
"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",2025-03-12,Neutral
"Don't personally care for the user interface or reminder/plan your day approach. Was looking for something...honestly...simpler. This is over the top for just my husband and I. On the other hand, for a BUSY family or business person, this is exactly what they need.",2023-10-18,Positive
"So far I am satisfied with this nice app compare to other simlar apps. But one thing I noticed, once I restart my gadget, it automatically clears all the tasks being displayed on my notifications bar. 2020: Notifications bar reminders are not synced with the current date. Why? :(",2023-04-16,Positive
"When I need it, which is rare z comes in handy ..",2024-08-28,Positive
"Linked it to my MS exchange, sadly It doesnt show the attachments in my calendar entries...shame as this was looking promising...😒😔",2024-11-01,Neutral
"Very good app, simple but enough to use, I'm going to get pro. But a question, sync with google calendar, is 1 way sync (only can review), or 2 way sync?",2024-01-06,Positive
"The app is great but it would be better if you could increase the payment methods, to upgrade to premium. My debit card isn't supported it says..I live in Pakistan",2024-02-23,Neutral
"I wish I could pick the day tasks to display on the widget. Since the last update I can only see whole lists, not those I prioritized. Edit: thanks for the response, but this is not true. When I change the layout in the app and delete and reload the widget, it still lists personal first",2024-08-25,Neutral
All good. Should work on calendar,2022-12-24,Positive
Love it!! But can't afford premium😞,2024-08-29,Neutral
"Coordinates Humans 🙌🏾 This app was my go-to until covid hit. Keeping my personal, consulting business, and day work calendars in one app was madness. I broke off my day work to microsoft .to do on a separate device. Any.do now coordinates my consulting and my personal and family tasks, lists, and bills. Its refreshing. I do have syncing issues for calendar events as well as a crash everytime I add people to invites when creating an event. Thats why I gave it 4-stars. Love it for tasks.",2023-10-30,Positive
"Good app. But didnt exceed my expectations to create a google hangouts scheduler. I really want an automatoc hangouts chat scheduled to be sent but when I tried to set it up on zapier, it doesnt work. I had to unsubscribe to yearly premium, Im not sure what gives the premium vs free",2023-01-08,Neutral
"I have been using this app for years and previous update of ""next 7 days"" update is amazing. I usally plan my day in morning and use widget to view my today's tasks but now app widget shows tasks by category not by next 7 days which has created a serious issue for me. I highly recommend in widget show tasks by day wise list not by category wise otherwise for me and for many this app is useless.",2024-10-28,Negative
"It's OK but it's not for me. I'm a student and cannot pay for an upgrade in the app. The free options are a bit limited so I, had to delete this app. Hope you enjoy it tho😊 Edit: Thank you for replying. I will make sure to give it another try and re-rate it depending on my second experience :) 2nd edit: it's very helpful. It does what it's created for: planning and keeping your life organized. And with reminders for us forgetful people . Bravo😁 I still feel like its missing something...",2025-02-19,Neutral
"Great app, but don't want to pay a monthly fee for all the features I don't use. Please offer a one time fee to use a dark theme / mode, so your customers don't have to stare at a glaring white screen. White screens also use more battery power than dark ones, so it also drains your battery quicker. Just about everyone else is offering this option for free, so please offer it to your customers for a reasonable price too. Thank you.",2023-11-07,Positive
1) It has a calendar feature but you can't customize the calendar events repetition as much as you can in google (can do daily but not 5 days a week all in one entry). 2) edit: figured the task sorting part out. Sort by time and collapse upcoming/tomorrow and it will just show your daily tasks. I like that. But it's still not worth paying for unless the calendar event customization is as good as Google's since that is free.,2022-03-31,Neutral
"Please, if possible, can you make it no limit or larger limit as to how many words you can put in a list? As it runs out rather quickly l. For example if you use it to make a shopping list. Thank you.",2023-11-29,Neutral
"Tried adding some Zapier combinations, but whenever I need to log into something through App's Zapier, it fails. Only works if done outside the app, and outside Any.do. Also it would be a great improvement if the calendar widget would show reminders/tasks as dot too.",2023-06-24,Negative
Very 👌 nice,2024-01-02,Positive
Great app. but buggy. Keeps asking me to delete all completed tasks even though it's empty,2024-05-18,Neutral
Good,2022-02-10,Positive
nice,2024-01-10,Positive
Initial upgrade hid the separation of today tomorrow upcoming and someday. After sorting and adding new tasks all of sudden they all showed up again. Don't know why this happened. If these features go away it will make this app much harder to use. The bug freaked me out and cause me to write a very bad review which I have since edited and amended,2023-05-17,Negative
Best app for ur task management. Edit: for 5 stars u can add more theme options for free version,2024-08-16,Positive
"Too simplistic, but it's pretty good",2025-03-14,Neutral
Why notifications are too short? I want to be able custmize my noti sounds!!!,2024-07-17,Neutral
"I've used this app for many years with good experience. Lately the UX and complexity have caused some problems, nonetheless, new features have been very good. However, with the latest update I can no longer see tasks planned for tomorrow, a feature that was the reason for using this app to begin with. It's just gone with no possibility to configure it again. I do understand development of new features, but I do not appreciate removal of features that are being used. Great app, not for me anymore",2023-04-06,Positive
還算不錯用！簡單易操作,2024-01-02,Neutral
"It's good app but the calendar view doesn't highlight the day you're on. It's gray like the other days and makes it hard to quicly scroll to today's events. For task view, ,it needs to show the time the task is assigned so you can get it done. However, if you go to calendar view, it will show the task and time.",2024-01-22,Neutral
This is my best to do apps so far and I like it very much. I wish there are some tutorial to give some advice on how to use all the apps potential. And maybe some connection with google assistant and over voice command.,2024-07-13,Positive
"I love this application so much!!! Good job to the developers. However, I've been having some issues lately with the application. The application refuses to notify me of some tasks I planned to do. When trying to set the time for a reminder, the clock's 5 minutes faster and automatically blocks the other minutes before. As an alternative, I set the date and time using natural language but sometimes it works, sometimes it doesn't. Kindly fix this. Once again, it's a wonderful application.",2024-06-27,Positive
Dark theme should be free 😢,2023-01-25,Neutral
Have the free version and even that is quite useful in terms of ease of use and integration with calendars. Now thinking of upgrading. Could get a 5 then.,2024-06-01,Positive
Good app,2022-09-13,Positive
Like this a lot.,2023-12-10,Positive
"A very good app, easy to write my task and thus no need to remember it, the reminder system is good",2023-03-26,Positive
Locking option is not available..All other features are excellent.,2022-01-10,Neutral
"I love Any. but got a few things I don't like. For some reason events cannot be colored when they are written directly to Any.do as it happens on Google Calendar and Zapier doesn't give you that option. I have to write the event in Google Calendar, put the color I want to see it in Any.do. It would be great if you could enable that option. Other idea please put a Report option of things done in the day and task completed. Thanks",2024-04-03,Neutral
Hh,2024-03-08,Positive
Good,2024-05-26,Positive
This rating is for the free version. Most feature rich free version I've tried of other to do list type apps. Interface takes some getting used to but great features and everything seems to be working.,2024-10-25,Positive
It would be better if there's an icon beside the task so I can easily identify whether a task has some note to it.,2025-02-16,Neutral
"The app keeps getting back to system language even after I selected a different one countless times. I've to select the system language and then select (again) the language I want the app to be with, only for it to go back after a while",2024-10-12,Neutral
So great. I have suggested this app to many a friend. Suggestion: have the ability to custom the repeat feature in the events. Sometimes things repeat every week but only for 5 weeks.,2023-01-09,Positive
"Muy buena app, funciona bien y es muy simple e intuitiva. El único pero que le puedo poner es que cuando mando a mis compañeros de trabajo algún quehacer, no siempre llega la notificación",2024-12-24,Positive
It's good app for all,2022-05-26,Positive
I love it so far.,2022-08-12,Positive
Great,2022-06-26,Positive
I am using it daily,2024-05-02,Positive
"Suggestions: - Make the tag colors the background of the task, and not just a small line under the task title. At least have this as an option. - The trees in the Focus mode are all the same no matter how quick or long you do a task. Add variety to this mode: trees/plants to choose from, other decorations, probably even animals or different landscapes. Add more music to choose from, too. I definitely love the look and feel of this app. I enjoy it better with Premium, though.",2022-03-04,Positive
"Good design, features..",2024-04-06,Positive
I really enjoy using the app but I want to suggest a daily summary of tasks to be done (in the morning) and tasks completed and those that were not. Thanks for your hard work.,2024-03-05,Positive
I dont like that ths deleted or finished every day just let the incomplete ones roll over and the completed ones stay back,2023-11-20,Negative
"There's a bug where I set a reminder on Saturday weekly then after I saved it, it shows Friday on the screen.",2022-04-15,Negative
It is very nice app. It would be good if you could add due date option for tasks,2025-01-27,Positive
A good app to remind me of things I need to do,2023-05-26,Positive
Gr8,2023-01-20,Positive
Excited,2023-02-09,Negative
Very useful,2024-04-02,Positive
Make dark theme available in the free app,2023-06-02,Positive
Can I import my task list from Google keep app,2023-04-21,Negative
Good,2023-12-10,Positive
It would be better if there was a voice command like Alexa.,2024-02-10,Neutral
Thanks for the support. Battery optimiser on Xiaomi disables the autostart of the app. It works now,2024-11-12,Positive
Has been super helpful in organising my days. Has made getting my chores sorted so easy,2024-09-23,Positive
So far so good,2023-11-08,Positive
Good,2023-12-15,Positive
Nice App. Able to manage my tasks,2022-03-24,Positive
I like this app. It helps me to accomplish my tasks very comfortably. A must have apps for productivity. Thank you,2025-03-14,Positive
Decent app,2025-01-13,Positive
It helps me to remember what to do as I forget sometimes. It's a nice application but there would be a slight change in it. There must be a ringtone to remember not any message. As people see calls not messages as my opinion.,2025-01-06,Neutral
"This app is brilliantly developed with all necessary features. But few things disappoints us. We cannot set sound notification, it pop-ups only if we are using mobile. Sometimes it doesn't remind us the scheduled activity even in notification. If these bugs are fixed I'll definitely go for paid version with five rating.",2023-04-02,Neutral
Getting better with each up date.,2022-01-01,Positive
App parfaite si vous voulez vous tenir à jour et savoir où vous en êtes avec vos tâches/missions. versions gratuite avec quelques publicités mais rien de vraiment méchant. A tester absolument !,2022-02-20,Positive
Love it,2023-11-16,Positive
Super,2023-12-18,Positive
Any.Do moment new colored style isn't good.,2023-03-25,Negative
This app was great a year or two ago. They spam you now with premium service purchase requests (which are costly) and have restricted all the good options to their premium service.,2024-05-30,Negative
Help you alot to plan your day,2023-05-03,Positive
Great app. I really like the integration with other apps like Gmail and Trello etc. My only problem is it sometimes doesn't show notifications.,2022-02-03,Positive
Good app,2022-04-05,Positive
It's great,2024-12-31,Positive
TonyR.Suarez penaurree,2022-06-03,Neutral
Good,2022-09-07,Positive
Amazing app pretty good to remember you what you should do :3,2023-11-05,Positive
Nice,2023-03-14,Positive
Interesting but personally not needed.,2022-04-28,Neutral
Good app but eventually stopped using it as it didn't fit my needs exactly.,2024-02-10,Neutral
Ol,2022-09-25,Positive
"I'm trying to use this a family organiser and so far so good. The only feature I'd really like is to share reminders - is that possible? E.g. if I set a task in a shared list, I'd like everyone to receive a reminder for that task (or at least the person who has been assigned). As it stands, you can only set up reminders for yourself.",2024-12-13,Positive
"If it wasn't for the fact that the app doesn't offer separate widgets for Work Profile (I personally really need this), I'd give it 5 stars :)",2022-08-24,Positive
Will be happy if this app comes with time duration..other that this is a perfect app with which one can easily create tasks,2023-01-24,Positive
"I love the app, 8have been usinfg it for quit a while now, the only thing I font like is that it only has a list option, though I wish to make a morning routine on it, please see this and fix it, thank you!",2024-09-16,Positive
It has been very useful for me.,2024-02-02,Positive
Its great for quick reminders with events just weird its 30 min before by default i wanna change that alsoo every 3 and 6 months reminder be USEFUL and a must pls like toothbrush replace reminder.,2023-02-05,Positive
Adding Habit Tracker would be useful.,2023-09-16,Positive
"Love the app, but frequent changes to the UX are frustrating. I manage to get used to changes, develop some muscle memory, and more changes come. The new snoozing experience is very slow! It may be flashy, but it's just painfully slow, it's an added inconvenience. Please at least make it an opt-in feature.",2024-02-06,Neutral
"This is my favorite to-do type of app, it's gorgeous on an oled display, but I really wish there were a better way to set up repeatable checklists. To start a good habit I find the reminder to do it everyday very helpfyl, but even better is tracking how many times I actually did after a week and when. This app allows repeat events with notifications but doesn't track time completed or show completed or incomplete events on Cal or Google calendar so making schedule adjustments is a chore.",2024-07-07,Positive
Easy to use interface... Premium account links into other APPS,2024-05-02,Positive
"Relocate the *Delete Task* & *Mark as Done* tabs. I have a Galaxy Note 10+, and, quite likely w/ other phones, when i motion to press my *navigation button* on the bottom right or the *open application button*, on the bottom left, i am frequently accidentally tapping the *mark as done* or *delete task* tabs and have to to manage or recreate my my task details that I was already working with. Aside from being increasingly frustrating, aggravating, and annoying, this becomes a time waster.",2023-08-01,Negative
"Honestly, needs a lot more features for me to be worth paying premium for (I tried out the free trial). The deal breaker for me was the fact that I can't set custom alerts for calender events.. maximum I can do is 2 days before event.. why can't I customize it (i.e 2 weeks or 10 days)? Then they need other things like automatic dark theme switching. Other than that, it's a nice productivity app. Love that it combines tasks and events into the calendar",2022-03-16,Neutral
Nearly perfect for daily usage. Is there a way for widget do display tasks hours I think this would be massive help for the users?,2023-03-11,Positive
"Clean, simple interface. Generally fast and easy to add things as I think of them. However.....I wish the app didn't think it was so smart. I find the auto-spelling annoying. Putting in 8-10 ft. electric cord under lists was automatically interpreted as August 10th. And the assumptions about categories for shopping lists is annoying. 5 different things to get a hardware store end up in 4 different categories. Changing the categories for shopping lists is not easy to manage (and why do they show up under Tasks at all?)",2022-04-13,Neutral
"A perfect app to prioritize daily tasks, yet the U.I is still not up to mark.",2024-02-03,Positive
99% percent love this app! I would like the option to turn off the vibration that occurs when moving a task from one sublist to another. It's annoying to other people nearby when I'm using it in a quiet place which stops me from using it at certain times of my day. Otherwise fulfills all of my to do list and note taking needs.,2024-01-08,Positive
"Great tool. I use it every day. There's a bug, however, that's very annoying. I'm on Galaxy Note 9. When I move the items, there's 80% chance the item will loose previously assigned datetime and will be moved to the Someday list. It's very annoying and time consuming! This is the sorting mode by Time. Additionally, when I choose this mode, majority of items belonging to various lists, unfortunately, will not be sorted by date & time, so I'd have to move them manually... Please fix these issues",2024-03-16,Positive
Nice app foe reminder,2022-04-08,Positive
"Great app, very usable, lots of features...but 36$ a year for premium? That's almost as much as I pay for my premium password manager, and that's much more complicated and costly to develop and maintain. This is a GREAT app, but there's no way I'm going to pay that much.",2024-03-08,Positive
Nice app very useful,2024-05-08,Positive
Nice,2023-03-11,Positive
"Easy to use and very straightforward, no fuss just works perfectly with timely reminders.",2023-03-23,Positive
Helpful app. Thanks for the good work.,2022-09-06,Positive
"Any.do is gradually becoming my daily tool for managing my schedule, tracking customer debt position. It is a rewarding experience for d money.",2022-06-15,Positive
"I reinstalled 5 times but is'nt working basically It is'nt singing with any of 3 methods. Plese fix It, I am unable to use such a good application.",2024-09-10,Negative
The app lacks tools to view how good I am keeping up with my daily habit/recurring tasks.,2024-10-16,Neutral
"Very good planning organizer, but there's still few bugs here and there. In the grocery list, why i can't open the completed lists? It's always close again after 1 second. Please fix.",2023-06-26,Positive
Very nice,2024-01-29,Positive
Great app but needs work.,2025-02-03,Positive
"Best wunderlist replacement with one major flaw. As far as a to-do list app it is pretty decent and has what you would want. It is very tricky to figure out how to disable all of the random notifications this app sends you. That is my major complaint, but once you finally get it all disabled this app is decent. The layout is a little messy, but the smart grocery grouping is nice.",2022-03-22,Positive
"This app is great , I mean really it is.. you can do a lot of things but only if you pay which isn't a bad thing , it's just that as a student adding this to my expenses is just not feasible ... Hence the 4 stars , connecting to a student service such as UniDays would increase influx of student users.",2022-05-13,Positive
Goood,2024-03-07,Neutral
Good,2024-06-18,Positive
There's no search option for mobile version even I already have the latest version,2022-05-18,Negative
So far so good. I just dont like the fact that it has payment to get full features and it's quite expensive.,2022-07-03,Positive
Great,2024-02-24,Positive
Great app for tracking tasks. Could use some work on gesture/finger detection. For example I will always accidentally close the text field for a new note when trying to hit save. Pro version is good but a little pricy for the benefits.,2024-09-10,Positive
Its a very good app...the only issue thats what i am facing is the reminder thing..it dont used to send me reminders and it only notify me when the app is opened. However i have already given all the notification rights. Dear any.do team kindly look in to the matter or advise me if i have missed something with respect to notification settings. Thanks,2022-03-10,Positive
Good note,2023-06-30,Positive
"It is great, but it would be better if the sort by Time feature is really sort it by Time. Not only today, tomorrow, and upcoming. It is really inconvenient if in the Upcoming tasks, it is not sort by time.",2022-02-22,Neutral
So far this is the best app I have used to plan for my hw and studiesas it is very easy to set and plan the things you want .I highly recommend you to try this app.,2022-07-24,Positive
"It suddenly quit syncing. I've tried logging off and back on again with no luck. When I try to do it manually it just already says that it was synced ""just now""...even though none of the things I have added show up. Never had this problem before. If I can't get it resolved I will remove app and find something different. Very frustrating. Update: I did a FORCE STOP on the app, and it seems to be back to normal. It works for what I need (shopping list) but isn't the easiest for rearranging the list, and the advertisement at the bottom of the list is very annoying and makes rearranging the list even more difficult.",2022-05-06,Negative
This app really help me.😊,2022-02-12,Positive
How to disable the everyday 9am reminder to keep a reminder? Honestly don't need it. That's just a noise!,2022-04-21,Negative
No pop-up reminders because we use planner as we forget.,2024-01-31,Neutral
"The grocery lists don't work on Huawei P30 Pro after your last update. The different list sections fold and unfold by themselves. It became impossible to use them. Fix it and I'll give you 5 stars again. Thanks for the follow up, I edit the review to 4 stars by now for the good customer service. Waiting for the big to be fixed!",2024-04-27,Positive
"Increase my productivity, helps me to remind, and also the price for premium version is also very less.",2022-04-05,Positive
It helped me,2024-06-18,Positive
"I LOVE this app. It was the one I narrowed down to after having downloaded several to-do apps. HOWEVER, I wish it had just a plain note taking feature for day to day things to remember, without it being attached to a to-do item. I also wish the interface was slightly easier to manage, there are a couple fixes that would increase the apps ability to be intuitive for the user. (An easier way to undo checking off a list item, being able to view the agendas differently ie calendar and tasks)",2022-12-26,Positive
Love this app.. But I wish i can add due date for my task.,2024-06-18,Positive
Très pratique !,2022-10-08,Positive
"Are the tasks created in this apo visible in Google calendar? If yes, how to set that up?",2023-10-29,Neutral
Very good app for manage the things. Easy to use.,2022-04-03,Positive
I can hardly give up on this app. It is so intuitive even though there are still things to improve. 1-Shortcut to grocery list 2-Displaying time of the task in the widget,2023-11-03,Positive
Its good and does the job,2022-03-02,Positive
I started with the subscription primarily because of the NLP. Does it support recurring tasks with NLP ? The integrations are awsome!,2023-09-26,Negative
"Great app for goal makers, but there are some premium features . Please make them free to use. It's a humble request.",2024-12-10,Positive
Subscribe by hi iam vimal,2024-10-25,Negative
Good,2023-08-27,Positive
Had an issue but it was handled right away.,2023-11-13,Neutral
Great,2023-06-18,Positive
Great App for planning my day,2024-04-17,Positive
It's simply the best 😁 ❤️,2023-10-07,Positive
"Missing one key feature that is a deal breaker for me. I MUST have the option to create recurring tasks based on date of completion. Ex: If I have a recurring task set up to complete every 10 days, but I actually go 15 days before completing it, I don't want to be reminded again in 5 days. I want the next due date to advance 10 days from whenever I last completed it. It's unfortunate because I love everything about this app, but won't subscribe to the paid version until this feature is added.",2022-08-21,Negative
I just like this app for it's widget. I didn't pay for the full version so I uninstalled. I'm coming back because the widget look EXACTLY how I need it to look. I wish I could JUST install the widget honestly. It's my favorite.,2023-06-08,Positive
Really useful and well designed app - only thing I feel that is missing to make it five stars is having a shopping list widget,2022-12-12,Positive
Do i need to pay?,2024-12-05,Negative
Great app! It makes my family and me do specific tasks. I would give it a 5 star review but sometimes the notification doesn't pop up at all.,2023-06-30,Positive
Very good app but I am giving it 4 star because the priorities constantly delete every time I leave the app and suddenly reappear which is very very annoying,2025-01-06,Positive
I m new to used,2025-01-01,Positive
I think that a bug when I set tag for the goal they sometimes disappear,2024-03-04,Neutral
Nice,2022-09-06,Positive
Timely,2022-02-16,Positive
"Excellent to help get organized, to dos, lists...havent used all features yet but looking to learn and utilize. U",2025-02-18,Positive
Simple and useful. Liked the widget too.,2022-08-02,Positive
"Good app, simple, easy, beautiful design, bright colors, auto backup to cloud, sync with calendar, it has two subscribe plans, free account and premium.",2022-08-27,Positive
Good,2024-12-15,Positive
"The app felt good enough for me to buy the yearly subscription, which I did and paid th 15€ it requested. But a week later they charged me 17 more euros to my credit card for the same subscription and the same features so I basically paid 32€ . THAT is a scam and unless I get my 17€ euros back I'm gonna keep the rating at one star. Edit: issue was solved and I got a refund for the extra money that was charged, all's well that ends well.",2022-12-16,Negative
"Would love to have been able to plan out a week and see it rather than having today, tomorrow, and upcoming. I use the calendar feature a lot, though and it is super useful",2022-04-17,Positive
"This app is good. I use it daily and it runs my life. I have too many tasks though, and anydo's plan my day feature is good at forcing me to postpone stuff to next week, repeatedly. Pls add a built in optional Eisenhower matrix tagging system - tag each item with a quadrant label. Add a matrix view option to view all today's tasks in quadrant view, with filters for specific list only or all items. It's hard work retyping any do items into other apps to view like this",2024-04-10,Positive
Very practical and usefull application,2022-02-17,Positive
Nice app which reminds us our tasks and events,2022-12-03,Positive
I like thid,2024-11-15,Positive
Super,2024-03-14,Positive
Good,2022-01-08,Positive
Useful,2023-09-17,Positive
Boo.,2023-12-20,Negative
"This could be an awesome app. It has great potential except for a few flaws that end up making it a super irritating app. I have reported these issues to the app's tech support several times only to get lame responses with no resolutions. The latest being that when items are entered into a category in this app, the app for some reason resorts the sequence of items in my list automatically. I put these items in the list in a certain order for a reason. I have other issues, but no moreroomher",2022-10-30,Neutral
