content,Sentiment,Predicted Star Rating,Confidence
It was awesome at first. Then I try to add an event from the widget and it won't do it correctly. Super frustrated,Negative,1,0.53
"Nuisance app. It probably works fine, but it's definitely not for me. However, when I decided to uninstall it, it gave me no easy way to delete my account. To delete my account I need to enter a password. I never set a password because I signed up with Google. So I have to login to create a password just to enter password to delete the account. I haven't figured out how to revoke the permissions I gave. This is abusive. Deleting an account and data should be straightforward.",Negative,1,0.46
"Love this app, but some functions make the productivity lacking. In my experience, there is a limited amount of notifications I can receive from this app per day. There appears to be no way to change this on the settings for my phone or the app. This is problematic for me, because I have the premium version and have it connected to Zapier. I am not receiving push notifications when actions are taking place. Very disappointing, as this is crucial for time management projects with teams.",Neutral,3,0.55
"The Next 7 Days is No Longer Showing ""the next 7 days"" but rather group by lists and not by days..",Neutral,3,0.35
"I have used this app for years, it is great if you want to be more organized and get reminders of the tasks you need to do. I must say however, that the app itself has regressed throughout the years with all the updates. Things used to be simple and intuitive, now I don't understand what half the buttons do, basic functions like deleting and removing tasks are way too clunky. The concept of the app is great but I can't recommend it anymore, each update makes it worse.",Negative,2,0.6
"It's a good app! It reminds me of things I tend to forget, don't get me wrong. It's good just that I don't like the layout that came wirh the recent update. Everything is cluttered now, before things were organized, what happened?",Positive,4,0.62
"99% premium advertising, free version is not usable",Negative,1,0.65
I pay for the premium app and it keeps closing down on me once Im in the app. What can I do to keep that from happening?,Negative,1,0.37
"Just enough features to be useful yet simple and (mostly) uncluttered. Been using the app for years. The new rocket animation showing total tasks completed, and congratulating me for the most mundane thing is extremely irritating though, and lost the app a star.",Positive,4,0.86
Almost perfect app just one thing I wish anydo had is hourly reminders and copy reminders to set the same task just a different time... This is coming from a PAID subscriber...,Positive,4,0.48
What happened to the missed calls notification? I recently switched phones and had to download the new version and the option is no longer there. It was one of the main reasons I used the app.,Negative,1,0.43
"To be fair, I downloaded it and uninstalled it after a couple of minutes. The reason for this is that I hate apps that scream ""pay me money"" since the instance you download it, and this one did that exactly. With the ""free premium trial"" being in your face all the time, and then setting it up or going through the tutorial you could see all the features and all you could see is ""premium"". Just do the app as a paid one instead of begging for people to pay for it. It looks amazing though.",Negative,2,0.39
Love it. Great future.👪🙌,Positive,5,0.9
So nice,Positive,4,0.44
fantastic,Positive,5,0.84
Too many options and gets too fancy for an app that should just have simple functionality to setup reminders and to do items,Negative,2,0.56
"Good app but needs ability to customize recurring events by allowing us to input an end date.. i.e can't end a private lesson series after 8 lessons, it reoccurs forever.",Neutral,3,0.6
"La baje para sincronizarla con Whatsapp y esa función es paga, por lo demás no la probé.",Neutral,3,0.39
Way too expensive; if there was a monthly option I may consider going premium.,Negative,2,0.53
"Expirencing some problems with the reminder sometimes it sounds, sometimes it doesnt, help please",Neutral,3,0.47
Great UI an reminder app. Only downside is I cant mute notifications for certain accounts which is really annoying. I'd like to see my events but not have notifications for them as I have a ton.,Positive,4,0.83
Just not for me. They also seem to refuse to let you delete your account by refusing a password that was created 15 seconds. Lots of cool features but not what I'm looking for.,Negative,2,0.58
"Perderam integração com a Alexa? Ao selecionar a opção no Any.do, sou direcionado para o app Amazon Alexa e lá aparece a mensagem de erro que essa skill não existe mais.",Negative,1,0.6
Reporting abuse.,Negative,1,0.47
good,Positive,4,0.5
I like it true,Positive,5,0.55
"App is fantastic. However, when a task reminder pops up, it disappears without acknowledging the notification. It used to have an icon at the top left but it does not show up anymore. Not sure if it is a big in the latest update. Please fix. I am on a OnePlus 7 pro running the latest OS.",Neutral,3,0.44
Hyyy,Negative,1,0.26
Any Do Moments are not working for me.. 😪 Please look into it.,Negative,1,0.43
"1) When i access from pc it shows different calander google account. And when i access from phone it shows different google account (i use 4 different gmail accounts) 2) also when a task is completed or deleted from the app, without touching the notification bar on phone, notification on phone stays. It has to be swiped away manually. So i have to use two actions to delete one tasks. Edit-1 Now the app sticks and has become slow after the recent update. i tried uninstalling and reinstalling. still no success. it",Negative,1,0.66
Don't know,Negative,1,0.29
"I can't set my time the same time I write up a task. I always have to save then revisit and set the time, which is very annoying. Also I can't upgrade to the premium version which is very disappointing. Overall not a bad app but there are a few things that need to be tweaked",Neutral,3,0.47
It went from simple and useful to cool and confusing this morning. I don't know what is going on. I'm disturbed,Negative,2,0.3
"Great features, ability to collaborate, and plenty of options. I just wish the interface was designed by a human being, it's the most cluttered and hard to navigate todo list app by far. Compare it to Google Tasks for example: You just open the app and start typing, and everything you need is right there, with easily discoverable features. This app constantly had me frustrated and searching around for what I wanted to do. UI in general looks like a high schooler with a UI hobby made it. Basic af",Positive,4,0.44
We need a monthly payment terms. Currently it is yearly only!!,Neutral,3,0.32
"I absolutely loved this app, but for the last week or so I cannot scroll through the calendar function without it scrolling itself back up to the previous week. Horrendously annoying. If you could fix this that would be awesome as otherwise I would have given 5 stars...",Negative,2,0.43
mobile app isn't very intuitive but the desktop app is good,Neutral,3,0.54
"I like the app overall, but there are bugs that need fixed. The app keeps stopping. Also, pay and buy need a recurring option.",Neutral,3,0.68
"All around amazing life improver with one irritating caveat. The reordering functionality could really use some work. Often the reordering fails and the task gets thrown out of ""Today"" into ""Someday"" which means I have to go fish it out from a long list. Sometimes this will happen multiple times in a row really testing my patience. Been dealing with it for many months now - want to continue using this awesome app but really struggling with this one bug. Galaxy S9+, Android 10, One UI 2.1",Neutral,3,0.31
"Beautiful interface but it is very annoying to navigate and not fluid. Creating reoccurring tasks seems to be a pain. Not sure if it's me or the app, but I kept having to change the time 2-3 times to get the correct times reoccurence. Grocery list is awesome. The calendar looks like Google calendar which is nice but it is choppy to navigate.",Negative,2,0.5
The day ended and i didnt end my task and it didnt shift or alarm about undone tasks,Negative,1,0.58
It's not what i need,Negative,2,0.41
It had a peculiar issue.. I have set it up to remind me of my ask with on screen notification but often it fails to do so and then I miss the task.,Neutral,3,0.53
This is so frustrating!!! I set a event for someone's birthday then a event a month ago before the birthday to not forget to buy the stuff they want and nothing shows up! Nvm it shows up on my Google calendar,Negative,1,0.89
Don't have a monthly plan. I can't find it in the premium section,Negative,2,0.38
"I like the functions, wish the support was better.",Positive,4,0.48
Well I have suggestion make a system where students could track time... Like total available time then distribute it over task..,Positive,4,0.35
Not pleased,Negative,2,0.47
I love the widget but whenever I edit an event on the calendar it changes the day to like the day before without me doing so and it's extremely annoying,Negative,2,0.45
How to get the pop up for missing call alerts,Positive,5,0.37
"The latest app update (7/26/20), ""new app navigation..."" is a definite downgrade, from panes to a one side scroll, now I can no longer see full task list names, the ""all tasks"" option is changed, the new layout sucks. Why do developers always do this, ""fix"" things that aren't broken? Why can't you just improve the things people are requesting, instead of changing everything else around too? This ver is much harder/inconvenient to navigate than the previous one was. Trying to revert to older.",Negative,2,0.45
Don't like the app and trying to unsubscribe but there is no option,Negative,1,0.55
Can't import/sync w/ Google Tasks?,Negative,1,0.4
The daily reminder does not work i mean it works on the first day but than on the next day it does not make sounds or pop up when its to do the task,Negative,2,0.42
"While it sure has its benefits, there's still a lot to be desired.",Neutral,3,0.45
Problem with the notification. Can't complete task from notification. Keep showing till I mark task as finished that too by opening the app.,Negative,1,0.41
Sir i have deleted this app i cant understand how to do so that the reason please reset my google account from any do and donot charge after 7 day trial,Negative,1,0.62
"Extremely aggressive in pushing the premium and paid version. Also overly complex since as its name denotes, it tries to do everything or anything. It may be beneficial to consolidate and duplicate tasks of several other apps even though some can perform better. Compare the shopping list in Google Keep which is easier to add or subtract items from a constant shopping list. This app combining tasks from other apps can be useful, depending on an individual's preferences and abilities.",Negative,2,0.34
Literally half the features under premium can be found free with other apps.,Negative,2,0.44
It's ok,Neutral,3,0.8
How to connect with Yahoo mail,Positive,5,0.54
Needs smart dictation like todoist and better calendar widgets like ticktick,Neutral,3,0.43
Needs work. Time options in Custom ARE NOT Professional enough.,Negative,2,0.43
Can't move it to SD card. I need space on my phone so I'll likely be deleting it.,Negative,2,0.44
Review more for 5 stars!,Positive,5,0.81
I paid for premium account. But my account status is still free with no premium feature.,Neutral,3,0.41
I really want to like this app. We use it to share shopping lists. But the syncing with my wife's phone leaves much to be desired.,Positive,4,0.47
I am on premium and i don't receive whatsapp messages as reminders,Negative,1,0.38
Add features like todoist,Positive,5,0.36
"I like the app but the only thing which i personally wanted was, if i were able to share picture with my shared tasks people, lets say i make a task to pay bill with my husband but i want to send him the image of the bill. Other than that better from other apps",Neutral,3,0.47
"I have used this for a while and, though it isn't a perfect fit, it does a great job of allowing me to schedule alarms for tasks and easy snoozing of those alarms. But they updated and fixed what wasn't broken. Now, all uncompleted tasks show in the task window with no delineation of whether they are recent, scheduled, or past due. Visually, it is very confusing. I'm probably going to dump this app. I would like a good calendar view of things scheduled on each day and it doesn't have that.",Neutral,3,0.43
Ok,Neutral,3,0.5
You have to pay to get half the features,Negative,2,0.32
Very limited without premium,Negative,2,0.41
"When you put something in a category and then rename it, you have to re-categorise. Not amazing at sharing - list items get out of sync on multiple devices.",Negative,2,0.54
"It's got promise, just not there yet. To many glitches to justify the premium version. Small things here an there but the main problem is events consistently erase information and become in unable to edit. Now you have permanent events stuck in your calendar that cannot be changed. For the free version I guess you could put up with it but it's still annoying. It's got style and potential. One day I hope to be back and check it out again.",Neutral,3,0.5
Best GUI with few bugs,Positive,4,0.47
I left a review earlier that was one star. While the app wasn't for me (I found that it was confusing and didn't suit my needs so I deleted it shortly after) The customer service was fantastic. I was charged for a subscription even though I didn't use the app because I made a mistake in canceling the subscription. I sent an email detailing my problem and asking for a refund. The response was quick and a refund was granted I thought it was only fair to come back and leave a nicer review.,Negative,1,0.9
I just downloaded the app not quite long. I've started to enjoy it but there's one problem. The widget is usually empty even though there are tasks in the app. What can I do about it?,Neutral,3,0.42
برنامه عالیه اما اکثر امکاناتش پولیه,Neutral,3,0.46
Nice,Positive,4,0.44
Very handy if you're going shopping or need reminders on what you want to purchase. Easy to use and plenty of features.,Positive,5,0.52
"I have such extensive ideas for productivity apps that a developer should retain me as a consultant before the competition gets me. None are even close to my standards, yet. One general idea for free: if a customization option that any one to-do list app has is useful, why don't they all have it?",Neutral,3,0.31
"App was excellent till recent, but I'm unable to add new task after recent updates.",Neutral,3,0.49
I really like this apps cos it allows me to plan weekly schdules which is very important to me.,Positive,5,0.68
"This is a simple free app. With an easy to use features and interface. But not much to explore, limited, with only the premium features as something that might pique your interest on. Other than those, this app does what it says on the description. If you're interested in a straight-to-the-point checklist, with minimal features, I think this can be your go to app. (3 stars; since this is not what I, personally, would look for in a to do app)",Neutral,3,0.97
Missing an important feature!!! They need to add the option to remind you every x minutes and x hours per day. It is a must for someone who has ADHD. I would definitely keep the upgrade if they can implement this feature.,Neutral,3,0.33
"Bug is there in recent version, whenever i try to mark incomplete a task a duplicate task comes up with same name again and again. Also we cannot recover our mistakenly deleted task",Negative,1,0.58
Its okay so far but im not sure on how to find the focusing tree part in order for me to stay focused just wondering how you do it other than that not too bad of an app,Neutral,3,0.8
It is not working,Negative,1,0.67
LIKE,Positive,5,0.39
"Waiting for the bug to be fixed which causes the tasks to be moved out of order and disappear,otherwise great app.",Neutral,3,0.43
I want to use this app but i can't do log in. Many times i uninstall and reinstall but prb is still not solved,Neutral,3,0.4
"Still exploring, sry",Positive,4,0.38
I believe I am rating about getting back on engine browser and phone after batteries or devices cannot interface,Negative,1,0.45
Tried it. The app worked well but found something that works better for me personally..🙃,Neutral,3,0.54
Not so good,Negative,2,0.5
This site is most suitable for those who wanted to get a jobs from home Thanks a lot,Positive,5,0.57
Great app. But I am not getting notifications even when i set time to remind,Positive,4,0.53
Going for free and better Microsoft To-do,Negative,1,0.28
So far I'm not impressed and I don't see where it's worth over $40 a year to use... I'm really trying to use it for everything since I did pay for it but to me it's just not worth it.,Negative,2,0.62
Not bad,Neutral,3,0.61
"NEED MORE ×.WITH APP, SO FAR SOGOOD",Neutral,3,0.39
"Overall not a bad app. For the first week or so, it gave me notifications when it was supposed to, but after that, it's almost like it forgot sometimes itself, e.g. notification on Saturday when I set it for Friday. Reminders for things I have set daily don't even come up anymore, but it remembers to give me an display-over-app notification to remind me to set a reminder. Also, no push notifications that take you into the app so you'd have to do it yourself. Sub-tasks are my favourite feature!",Positive,4,0.59
Will not let me start the free trial or for that matter purchase an upgrade so for now since it's stuck like me 3. Get it fixed and I'll improve score.,Neutral,3,0.47
"Hey dev, please bring back old UI in quick add widget... This new update does not have faster and efficient adding task event... Old version was perfect.... Please i have been using anydo since 4 years.... Please don't spoil it..",Neutral,3,0.32
"i would honestly give this app a chance if more features were available for free users. a lot of people dont have the money to spend on an app like this, and since there are many other options i will try those instead. premium for this app looks really helpful and the layout of this app is great but im going to have to uninstall since the free version isnt really helpful to me :(((",Neutral,3,0.42
"I had opted for premium. But even basic things like I wanted to start fresh, so I said delete all tasks, but it added that as a reminder from what's app.",Neutral,3,0.34
"Nice app, I think, but you need premium to use it. Free version is very ripped off.",Neutral,3,0.56
Delet,Negative,1,0.4
Thank you 😊,Positive,5,0.63
Features available in many apps for free are paid here...,Positive,5,0.38
I would normally give this 5 stars but the past few days the widget has not allowed me to make tasks on future dates. It just puts the task on todays date. And you cant put tasks on random future days either. Tomorrow yes but i like to plan ahead of tomorrow,Neutral,3,0.49
Super,Positive,5,0.78
don't understand collaborative editing,Negative,2,0.37
"Custom sound taken away, now you say they're back, thry aren't showing up. Hit and miss with quick add task doing voice input is annoying too. Make that a setting, but the biggest is the custom sound issue. Now adding a timed reminder is harder, just a tiny little bell icon to try and hit (it's crammed next to other icons, so it's easy to tap the wrong one.) Make better improvements, like a continuous scrolling calendar, instead of it jumping between months for a reminder the next day.",Negative,2,0.57
Not very user-friendly. I found it hard to navigate and find what I wanted. It works nicely and I appreciate the simple art style.,Neutral,3,0.64
"On the widget, Calendar tab not functioning although inside the app already linked my Google calendar.",Negative,1,0.38
How do u change it to am or pm because I can't press it and the time is really important,Positive,5,0.4
Can't edit the time of a scheduled task and no sound/alarm notifications for the tasks. Edit- sound issue resolved. But still having issues with editing tasks. Not a very user friendly interface.,Negative,2,0.5
I'm(Edwin M. Gonzales)Admin),Positive,5,0.34
Gud,Positive,5,0.43
"It used to be my everyday companion in every organisational way, but after the new update, there was no way to place a new task into the right day. It automatically put the task in the current day, not it's intentional deadline",Negative,2,0.32
Great app and does what I want it to do. (Is my prefered habit tracker ) However I believe the colours should not be a premium feature. Far too expensive as it is the only reason I would get premium! Perhaps make adding wallpapers from gallery a premium feature?,Positive,4,0.61
"almost a 5. just integrate google reminders so I can ask google to remind me about things, and keep track of them here. Update: 4/27/20 Google integration is here. It doesn't work. Now you get 3 stars for doing a crappy job 😂",Neutral,3,0.96
Reminder sound not sounding,Negative,1,0.58
It is better than the normal app in your phone I only wish their was better support for the calendar,Positive,4,0.57
Need more user friendly interface. But very useful application my mobile.,Positive,4,0.57
"updated review; left review here for wrong app. Not bad so far, migration of data off wunderlist mixed up all the items in the list, sorted by date, not within each list. not necessarily the apps fault. just challenging just to get started. already deleted two other apps that were worse.",Neutral,3,0.32
Everything is great. But the sort by time isn't working properly.,Neutral,3,0.56
"I've been using this for a long while now and it remains the penultimate, perfect to-do list app! I recommend it to pretty much EVERYONE I talk to, especially friends, family, and coworkers. -- 4/18/2020: latest update has eliminated the ability to resize widgets as needed. The remaining options are too large or too small.",Positive,5,0.56
I asked seven days trial to see whether I like or not and you have already taken the money for the whole entire year that is a rip-off,Negative,1,0.69
Tried to share a list with my husband but it won't share between my Office account and his Personal account. It's a show stopper.,Negative,2,0.45
"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",Neutral,3,0.58
"Don't personally care for the user interface or reminder/plan your day approach. Was looking for something...honestly...simpler. This is over the top for just my husband and I. On the other hand, for a BUSY family or business person, this is exactly what they need.",Positive,4,0.31
"So far I am satisfied with this nice app compare to other simlar apps. But one thing I noticed, once I restart my gadget, it automatically clears all the tasks being displayed on my notifications bar. 2020: Notifications bar reminders are not synced with the current date. Why? :(",Positive,4,0.64
"When I need it, which is rare z comes in handy ..",Positive,4,0.38
"Linked it to my MS exchange, sadly It doesnt show the attachments in my calendar entries...shame as this was looking promising...😒😔",Neutral,3,0.33
"Very good app, simple but enough to use, I'm going to get pro. But a question, sync with google calendar, is 1 way sync (only can review), or 2 way sync?",Positive,4,0.73
"The app is great but it would be better if you could increase the payment methods, to upgrade to premium. My debit card isn't supported it says..I live in Pakistan",Neutral,3,0.49
"I wish I could pick the day tasks to display on the widget. Since the last update I can only see whole lists, not those I prioritized. Edit: thanks for the response, but this is not true. When I change the layout in the app and delete and reload the widget, it still lists personal first",Neutral,3,0.34
All good. Should work on calendar,Positive,5,0.51
Love it!! But can't afford premium😞,Neutral,3,0.33
"Coordinates Humans 🙌🏾 This app was my go-to until covid hit. Keeping my personal, consulting business, and day work calendars in one app was madness. I broke off my day work to microsoft .to do on a separate device. Any.do now coordinates my consulting and my personal and family tasks, lists, and bills. Its refreshing. I do have syncing issues for calendar events as well as a crash everytime I add people to invites when creating an event. Thats why I gave it 4-stars. Love it for tasks.",Positive,4,0.97
"Good app. But didnt exceed my expectations to create a google hangouts scheduler. I really want an automatoc hangouts chat scheduled to be sent but when I tried to set it up on zapier, it doesnt work. I had to unsubscribe to yearly premium, Im not sure what gives the premium vs free",Neutral,3,0.6
"I have been using this app for years and previous update of ""next 7 days"" update is amazing. I usally plan my day in morning and use widget to view my today's tasks but now app widget shows tasks by category not by next 7 days which has created a serious issue for me. I highly recommend in widget show tasks by day wise list not by category wise otherwise for me and for many this app is useless.",Negative,1,0.38
"It's OK but it's not for me. I'm a student and cannot pay for an upgrade in the app. The free options are a bit limited so I, had to delete this app. Hope you enjoy it tho😊 Edit: Thank you for replying. I will make sure to give it another try and re-rate it depending on my second experience :) 2nd edit: it's very helpful. It does what it's created for: planning and keeping your life organized. And with reminders for us forgetful people . Bravo😁 I still feel like its missing something...",Neutral,3,0.69
"Great app, but don't want to pay a monthly fee for all the features I don't use. Please offer a one time fee to use a dark theme / mode, so your customers don't have to stare at a glaring white screen. White screens also use more battery power than dark ones, so it also drains your battery quicker. Just about everyone else is offering this option for free, so please offer it to your customers for a reasonable price too. Thank you.",Positive,4,0.45
1) It has a calendar feature but you can't customize the calendar events repetition as much as you can in google (can do daily but not 5 days a week all in one entry). 2) edit: figured the task sorting part out. Sort by time and collapse upcoming/tomorrow and it will just show your daily tasks. I like that. But it's still not worth paying for unless the calendar event customization is as good as Google's since that is free.,Neutral,3,0.4
"Please, if possible, can you make it no limit or larger limit as to how many words you can put in a list? As it runs out rather quickly l. For example if you use it to make a shopping list. Thank you.",Neutral,3,0.35
"Tried adding some Zapier combinations, but whenever I need to log into something through App's Zapier, it fails. Only works if done outside the app, and outside Any.do. Also it would be a great improvement if the calendar widget would show reminders/tasks as dot too.",Negative,2,0.5
Very 👌 nice,Positive,5,0.57
Great app. but buggy. Keeps asking me to delete all completed tasks even though it's empty,Neutral,3,0.48
Good,Positive,4,0.5
nice,Positive,4,0.44
Initial upgrade hid the separation of today tomorrow upcoming and someday. After sorting and adding new tasks all of sudden they all showed up again. Don't know why this happened. If these features go away it will make this app much harder to use. The bug freaked me out and cause me to write a very bad review which I have since edited and amended,Negative,1,0.4
Best app for ur task management. Edit: for 5 stars u can add more theme options for free version,Positive,5,0.72
"Too simplistic, but it's pretty good",Neutral,3,0.65
Why notifications are too short? I want to be able custmize my noti sounds!!!,Neutral,3,0.29
"I've used this app for many years with good experience. Lately the UX and complexity have caused some problems, nonetheless, new features have been very good. However, with the latest update I can no longer see tasks planned for tomorrow, a feature that was the reason for using this app to begin with. It's just gone with no possibility to configure it again. I do understand development of new features, but I do not appreciate removal of features that are being used. Great app, not for me anymore",Positive,4,0.41
還算不錯用！簡單易操作,Neutral,3,0.28
"It's good app but the calendar view doesn't highlight the day you're on. It's gray like the other days and makes it hard to quicly scroll to today's events. For task view, ,it needs to show the time the task is assigned so you can get it done. However, if you go to calendar view, it will show the task and time.",Neutral,3,0.69
This is my best to do apps so far and I like it very much. I wish there are some tutorial to give some advice on how to use all the apps potential. And maybe some connection with google assistant and over voice command.,Positive,4,0.68
"I love this application so much!!! Good job to the developers. However, I've been having some issues lately with the application. The application refuses to notify me of some tasks I planned to do. When trying to set the time for a reminder, the clock's 5 minutes faster and automatically blocks the other minutes before. As an alternative, I set the date and time using natural language but sometimes it works, sometimes it doesn't. Kindly fix this. Once again, it's a wonderful application.",Positive,4,0.62
Dark theme should be free 😢,Neutral,3,0.34
Have the free version and even that is quite useful in terms of ease of use and integration with calendars. Now thinking of upgrading. Could get a 5 then.,Positive,4,0.61
Good app,Positive,4,0.53
Like this a lot.,Positive,5,0.46
"A very good app, easy to write my task and thus no need to remember it, the reminder system is good",Positive,4,0.52
Locking option is not available..All other features are excellent.,Neutral,3,0.29
"I love Any. but got a few things I don't like. For some reason events cannot be colored when they are written directly to Any.do as it happens on Google Calendar and Zapier doesn't give you that option. I have to write the event in Google Calendar, put the color I want to see it in Any.do. It would be great if you could enable that option. Other idea please put a Report option of things done in the day and task completed. Thanks",Neutral,3,0.48
Hh,Positive,5,0.29
Good,Positive,4,0.5
This rating is for the free version. Most feature rich free version I've tried of other to do list type apps. Interface takes some getting used to but great features and everything seems to be working.,Positive,4,0.54
It would be better if there's an icon beside the task so I can easily identify whether a task has some note to it.,Neutral,3,0.65
"The app keeps getting back to system language even after I selected a different one countless times. I've to select the system language and then select (again) the language I want the app to be with, only for it to go back after a while",Neutral,3,0.31
So great. I have suggested this app to many a friend. Suggestion: have the ability to custom the repeat feature in the events. Sometimes things repeat every week but only for 5 weeks.,Positive,5,0.63
"Muy buena app, funciona bien y es muy simple e intuitiva. El único pero que le puedo poner es que cuando mando a mis compañeros de trabajo algún quehacer, no siempre llega la notificación",Positive,4,0.81
It's good app for all,Positive,4,0.46
I love it so far.,Positive,5,0.78
Great,Positive,5,0.74
I am using it daily,Positive,4,0.44
"Suggestions: - Make the tag colors the background of the task, and not just a small line under the task title. At least have this as an option. - The trees in the Focus mode are all the same no matter how quick or long you do a task. Add variety to this mode: trees/plants to choose from, other decorations, probably even animals or different landscapes. Add more music to choose from, too. I definitely love the look and feel of this app. I enjoy it better with Premium, though.",Positive,4,0.44
"Good design, features..",Positive,4,0.53
I really enjoy using the app but I want to suggest a daily summary of tasks to be done (in the morning) and tasks completed and those that were not. Thanks for your hard work.,Positive,4,0.62
I dont like that ths deleted or finished every day just let the incomplete ones roll over and the completed ones stay back,Negative,1,0.54
"There's a bug where I set a reminder on Saturday weekly then after I saved it, it shows Friday on the screen.",Negative,1,0.29
It is very nice app. It would be good if you could add due date option for tasks,Positive,4,0.66
A good app to remind me of things I need to do,Positive,4,0.62
Gr8,Positive,5,0.27
Excited,Negative,1,0.23
Very useful,Positive,5,0.67
Make dark theme available in the free app,Positive,4,0.48
Can I import my task list from Google keep app,Negative,1,0.42
Good,Positive,4,0.5
It would be better if there was a voice command like Alexa.,Neutral,3,0.54
Thanks for the support. Battery optimiser on Xiaomi disables the autostart of the app. It works now,Positive,4,0.44
Has been super helpful in organising my days. Has made getting my chores sorted so easy,Positive,5,0.81
So far so good,Positive,5,0.55
Good,Positive,4,0.5
Nice App. Able to manage my tasks,Positive,4,0.54
I like this app. It helps me to accomplish my tasks very comfortably. A must have apps for productivity. Thank you,Positive,5,0.75
Decent app,Positive,4,0.46
It helps me to remember what to do as I forget sometimes. It's a nice application but there would be a slight change in it. There must be a ringtone to remember not any message. As people see calls not messages as my opinion.,Neutral,3,0.49
"This app is brilliantly developed with all necessary features. But few things disappoints us. We cannot set sound notification, it pop-ups only if we are using mobile. Sometimes it doesn't remind us the scheduled activity even in notification. If these bugs are fixed I'll definitely go for paid version with five rating.",Neutral,3,0.53
Getting better with each up date.,Positive,4,0.34
App parfaite si vous voulez vous tenir à jour et savoir où vous en êtes avec vos tâches/missions. versions gratuite avec quelques publicités mais rien de vraiment méchant. A tester absolument !,Positive,5,0.61
Love it,Positive,5,0.83
Super,Positive,5,0.78
Any.Do moment new colored style isn't good.,Negative,2,0.38
This app was great a year or two ago. They spam you now with premium service purchase requests (which are costly) and have restricted all the good options to their premium service.,Negative,1,0.32
Help you alot to plan your day,Positive,5,0.49
Great app. I really like the integration with other apps like Gmail and Trello etc. My only problem is it sometimes doesn't show notifications.,Positive,4,0.85
Good app,Positive,4,0.53
It's great,Positive,5,0.65
TonyR.Suarez penaurree,Neutral,3,0.25
Good,Positive,4,0.5
Amazing app pretty good to remember you what you should do :3,Positive,5,0.8
Nice,Positive,4,0.44
Interesting but personally not needed.,Neutral,3,0.46
Good app but eventually stopped using it as it didn't fit my needs exactly.,Neutral,3,0.59
Ol,Positive,5,0.26
"I'm trying to use this a family organiser and so far so good. The only feature I'd really like is to share reminders - is that possible? E.g. if I set a task in a shared list, I'd like everyone to receive a reminder for that task (or at least the person who has been assigned). As it stands, you can only set up reminders for yourself.",Positive,4,0.72
"If it wasn't for the fact that the app doesn't offer separate widgets for Work Profile (I personally really need this), I'd give it 5 stars :)",Positive,4,0.69
Will be happy if this app comes with time duration..other that this is a perfect app with which one can easily create tasks,Positive,4,0.49
"I love the app, 8have been usinfg it for quit a while now, the only thing I font like is that it only has a list option, though I wish to make a morning routine on it, please see this and fix it, thank you!",Positive,4,0.38
It has been very useful for me.,Positive,5,0.49
Its great for quick reminders with events just weird its 30 min before by default i wanna change that alsoo every 3 and 6 months reminder be USEFUL and a must pls like toothbrush replace reminder.,Positive,4,0.48
Adding Habit Tracker would be useful.,Positive,4,0.41
"Love the app, but frequent changes to the UX are frustrating. I manage to get used to changes, develop some muscle memory, and more changes come. The new snoozing experience is very slow! It may be flashy, but it's just painfully slow, it's an added inconvenience. Please at least make it an opt-in feature.",Neutral,3,0.61
"This is my favorite to-do type of app, it's gorgeous on an oled display, but I really wish there were a better way to set up repeatable checklists. To start a good habit I find the reminder to do it everyday very helpfyl, but even better is tracking how many times I actually did after a week and when. This app allows repeat events with notifications but doesn't track time completed or show completed or incomplete events on Cal or Google calendar so making schedule adjustments is a chore.",Positive,4,0.48
Easy to use interface... Premium account links into other APPS,Positive,5,0.46
"Relocate the *Delete Task* & *Mark as Done* tabs. I have a Galaxy Note 10+, and, quite likely w/ other phones, when i motion to press my *navigation button* on the bottom right or the *open application button*, on the bottom left, i am frequently accidentally tapping the *mark as done* or *delete task* tabs and have to to manage or recreate my my task details that I was already working with. Aside from being increasingly frustrating, aggravating, and annoying, this becomes a time waster.",Negative,2,0.44
"Honestly, needs a lot more features for me to be worth paying premium for (I tried out the free trial). The deal breaker for me was the fact that I can't set custom alerts for calender events.. maximum I can do is 2 days before event.. why can't I customize it (i.e 2 weeks or 10 days)? Then they need other things like automatic dark theme switching. Other than that, it's a nice productivity app. Love that it combines tasks and events into the calendar",Neutral,3,0.51
Nearly perfect for daily usage. Is there a way for widget do display tasks hours I think this would be massive help for the users?,Positive,4,0.6
"Clean, simple interface. Generally fast and easy to add things as I think of them. However.....I wish the app didn't think it was so smart. I find the auto-spelling annoying. Putting in 8-10 ft. electric cord under lists was automatically interpreted as August 10th. And the assumptions about categories for shopping lists is annoying. 5 different things to get a hardware store end up in 4 different categories. Changing the categories for shopping lists is not easy to manage (and why do they show up under Tasks at all?)",Neutral,3,0.59
"A perfect app to prioritize daily tasks, yet the U.I is still not up to mark.",Positive,4,0.65
99% percent love this app! I would like the option to turn off the vibration that occurs when moving a task from one sublist to another. It's annoying to other people nearby when I'm using it in a quiet place which stops me from using it at certain times of my day. Otherwise fulfills all of my to do list and note taking needs.,Positive,5,0.59
